1,035$a,074$a,086$a,264$c,856,955$b,245$a,245$b
1111621,(OCoLC)1046653937,0625 (online),I 19.13:1362,1955.;1955.,https://purl.fdlp.gov/GPO/gpo129405;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1362/report.pdf,20191212,"Quality of surface waters for irrigation western United States, 1952 /",
1111624,(OCoLC)1130590065,0624-A (online),I 19.15/5:6-A 52,2019,https://purl.fdlp.gov/GPO/gpo129518;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/tm6A52,20191212,"SUTRA, a model for saturated-unsaturated, variable-density groundwater flow with solute or energy transport :","documentation of generalized boundary conditions, a modified implementation of specified pressures and concentrations or temperatures, and the lake capability /"
1111625,(OCoLC)1130590095,0624-H (online),I 19.76:2019-1064,2019,https://purl.fdlp.gov/GPO/gpo129527;Address at time of PURL creationhttps://pubs.usgs.gov/of/2019/1064/ofr20191064.pdf,20191212,"Molecular identification of fecal contamination in the Elks Run Watershed, Jefferson County, West Virginia, 2016-17 /",
1111631,(OCoLC)1130590508,0624-H (online),I 19.76:2019-1078,2019,https://purl.fdlp.gov/GPO/gpo129531;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/ofr20191078,20191212,"Continuous stream discharge, salinity, and associated data collected in the lower St. Johns River and its tributaries, Florida, 2017 /",
1111637,(OCoLC)1130590502,0624-H (online),I 19.76:2019-1087,2019,https://purl.fdlp.gov/GPO/gpo129534;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/ofr20191087,20191212,"Polycyclic aromatic hydrocarbons, polychlorinated biphenyls, and metals in ambient sediment at mussel biomonitoring sites, Puget Sound, Washington /",
1111647,(OCoLC)1130591029,0624-H (online),I 19.76:2019-1092,2019,https://purl.fdlp.gov/GPO/gpo129535;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/ofr20191092,20191212,"Fish and habitat assessment in Rock Creek, Klickitat County, Washington 2016-17 /",
1111661,(OCoLC)1130591501,0624-B-02 (online),I 19.42/4-4:2019-5051,2019,https://purl.fdlp.gov/GPO/gpo129497;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/sir20195051,20191212,"Benthos and plankton of western Lake Michigan areas of concern in comparison to non-areas of concern for to selected rivers and harbors, 2012 and 2014 /",
1111673,(OCoLC)1130595764,0807-A-07 (online),LC 14.23:IF 10778/,-2018,https://purl.fdlp.gov/GPO/gpo129496;Address at time of PURL creationhttps://crsreports.congress.gov/product/details?prodcode=IF10778,20191212,Overview of the steam electric power generator effluent limitation guidelines and standards /,
1111675,(OCoLC)1130595966,0807-A-07 (online),LC 14.23:IF 10781/,-2018,https://purl.fdlp.gov/GPO/gpo129493;Address at time of PURL creationhttps://crsreports.congress.gov/product/details?prodcode=IF10781,20191212,U.S. solar manufacturing and global competiton /,
1111681,(OCoLC)1047999772,0625 (online),I 19.13:1410,1957.;1957.,https://purl.fdlp.gov/GPO/gpo129408;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wsp1410,20191213,"Geology and ground-water resources of the lower Lodgepole Creek drainage basin, Nebraska /",
1111682,(OCoLC)985520698,0625 (online),I 19.13:1253,1957.;1957.,https://purl.fdlp.gov/GPO/gpo129411;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1253/report.pdf,20191213,"Quality of surface waters of the United States, 1952.",
1111684,(OCoLC)954174516,0625 (online),I 19.13:126,1905.;1905.,https://purl.fdlp.gov/GPO/gpo129604;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0126/report.pdf,20191213,Report of progress of stream measurements for the calendar year 1904.,
1111689,(OCoLC)1047999780,0625 (online),I 19.13:1402,1959.;1959.,https://purl.fdlp.gov/GPO/gpo129414;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1402/report.pdf,20191213,"Quality of surface waters of the United States, 1955. :",Parts 7 and 8.
1111692,(OCoLC)954174540,0625 (online),I 19.13:129,1905.;1905.,https://purl.fdlp.gov/GPO/gpo114099;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0129/report.pdf,20191213,Report of progress of stream measurements for the calendar year 1904.,
1111742,(OCoLC)1131684564,0624-B-02 (online),I 19.42/4-4:2019-5136,2019,https://purl.fdlp.gov/GPO/gpo129653;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/sir20195136,20191216,"Geohydrology and water quality of the unconsolidated aquifers in the Enfield Creek Valley, Town of Enfield, Tompkins County, New York /",
1111743,(OCoLC)1131684801,0192-D-23 (online),C 55.443:ST 4/,,https://purl.fdlp.gov/GPO/gpo125713Scroll down to desired issue;Address at time of PURL creationhttps://sanctuaries.noaa.gov/science/conservation/conservation_reports.html,20191216,Stetson Bank long-term monitoring ... annual report.,
1111748,(OCoLC)1131688282,0192-D-22 (online),C 55.443:F 66/,,https://purl.fdlp.gov/GPO/gpo126016Scroll down to desired issue;Address at time of PURL creationhttps://sanctuaries.noaa.gov/science/conservation/conservation_reports.html,20191216,Long-term monitoring at East and West Flower Garden Banks.,
1111783,(OCoLC)1131699230,0624-B-02 (online),I 19.42/4-4:2019-5016,2019,https://purl.fdlp.gov/GPO/gpo119911;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/sir20195016,20191216,"Interpretation of dye tracing data collected November 13-December 2, 2017, at the Savoy Experimental Watershed as part of the advanced groundwater field techniques in Karst Terrains Course, Savoy, Arkansas /",
1111793,(OCoLC)1129232559,0625 (online),I 19.13:409,1918.;1918.,https://purl.fdlp.gov/GPO/gpo129605;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0409/report.pdf,20191217,"Surface water supply of the United States, 1915.",
1111794,(OCoLC)1048000026,0625 (online),I 19.13:1499-C,1962.;1962.,https://purl.fdlp.gov/GPO/gpo129692;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wsp1499C,20191217,"Water resources of the Utica-Rome area, New York /",
1111795,(OCoLC)1046653944,0625 (online),I 19.13:1369-D,1962.;1962.,https://purl.fdlp.gov/GPO/gpo129689;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1369d/report.pdf,20191217,Flow through openings in width constrictions /,
1111797,(OCoLC)961278399,0625 (online),I 19.13:1003,1947.;1947.,https://purl.fdlp.gov/GPO/gpo129607;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1003/report.pdf,20191217,"Surface water supply of the United States, 1944.",
1111800,(OCoLC)961272445,0625 (online),I 19.13:604,1929.;1929.,https://purl.fdlp.gov/GPO/gpo129606;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0604/report.pdf,20191217,"Surface water supply of the United States, 1925.",
1111801,(OCoLC)961268185,0625 (online),I 19.13:502,1923.;1923.,https://purl.fdlp.gov/GPO/gpo129373;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0502/report.pdf,20191217,"Surface water supply of the United States, 1919-1920.",
1111805,(OCoLC)958903205,0625 (online),I 19.13:1071,1949.;1949.,https://purl.fdlp.gov/GPO/gpo129616;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1071/report.pdf,20191217,"Water levels and artesian pressure in observation wells in the United States, 1946.",
1111808,(OCoLC)681444085,0624-B-05 (online),I 19.42/4:96-4186,1996,https://purl.fdlp.gov/GPO/gpo122200;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1996/4186/report.pdf,20191217,"Instream investigations in the Beaver Creek Watershed in West Tennessee, 1991-95 /",
1111811,(OCoLC)680519551,0624-B-05 (online),I 19.42/4:89-4123,1990,https://purl.fdlp.gov/GPO/gpo124238;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1989/4123/report.pdf,20191217,"A water-resources data-network evaluation for Monterey County, California.",
1111812,(OCoLC)1048000086,0625 (online),I 19.13:1462,1958.;1958.,https://purl.fdlp.gov/GPO/gpo129609;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wsp1462,20191217,"Geology and ground-water features of Scott Valley, Siskiyou County, California /",
1111816,(OCoLC)961332719,0625 (online),I 19.13:1260-F,1959.;1959.,https://purl.fdlp.gov/GPO/gpo129610;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1260f/report.pdf,20191217,Summary of floods in the United States during 1952 /,
1111820,(OCoLC)961333222,0625 (online),I 19.13:1540-A,1960.;1960.,https://purl.fdlp.gov/GPO/gpo129611;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1540a/report.pdf,20191217,Residue method for common minor elements /,
1111821,(OCoLC)1047999956,0625 (online),I 19.13:1487,1960.;1960.,https://purl.fdlp.gov/GPO/gpo129613;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wsp1487,20191217,"Geology and ground-water resources of the lower Little Bighorn River Valley, Big Horn County, Montana :",with special reference to the drainage of waterlogged lands /
1111823,(OCoLC)1110166694,0624-B-05 (online),I 19.42/4:97-4042,1997,https://purl.fdlp.gov/GPO/gpo127137;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1997/4042/report.pdf,20191217,"Results of the application of seismic-reflection and electromagnetic techniques for near-surface hydrogeologic and environmental investigations at Fort Bragg, North Carolina /",
1111861,(OCoLC)1047999984,0625 (online),I 19.13:1481,1960.;1960.,https://purl.fdlp.gov/GPO/gpo129614;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wsp1481,20191218,"Geology and ground-water resources of the Winter Garden district, Texas, 1948 /",
1111864,(OCoLC)1047999977,0625 (online),I 19.13:1531,1961.;1961.,https://purl.fdlp.gov/GPO/gpo129685;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wsp1531,20191218,Hydrology of the upper Cheyenne River basin /,
1111868,(OCoLC)1047999961,0625 (online),I 19.13:1534,1961.;1961.,https://purl.fdlp.gov/GPO/gpo129687;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wsp1534,20191218,Progress report on wells penetrating artesian aquifers in South Dakota /,
1111877,(OCoLC)1047999974,0625 (online),I 19.13:1475-L,1963.;1963.,https://purl.fdlp.gov/GPO/gpo129777;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wsp1475L,20191218,"Hydrology of stock-water development in the Ely Grazing District, Nevada /",
1111881,(OCoLC)1047999982,0625 (online),I 19.13:1498-I,1965.;1965.,https://purl.fdlp.gov/GPO/gpo129778;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1498i/report.pdf,20191218,Total bed-material discharge in alluvial channels /,
1111888,(OCoLC)963246054,0625 (online),I 19.13:1955,1969.;1969.,https://purl.fdlp.gov/GPO/gpo129781;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1955/report.pdf,20191218,"Quality of surface waters of the United States, 1964.",
1111891,(OCoLC)1131820432,0629-E-12 (online),I 53.20/2:64,2003,https://purl.fdlp.gov/GPO/gpo129513;Address at time of PURL creationhttps://www.blm.gov/learn/blm-library/agency-publications/resource-notes,20191218,Watershed protection on sagebrush steppe :,characteristics and importance of litter cover /
1111893,(OCoLC)1131862481,0629-E-12 (online),I 53.20/2:65,2003,https://purl.fdlp.gov/GPO/gpo129526;Address at time of PURL creationhttps://www.blm.gov/learn/blm-library/agency-publications/resource-notes,20191218,Sheep Creek Resource Conservation Area: a model of interagency collaboration /,
1111901,(OCoLC)1131863421,1045-C (online),Y 4.P 96/10:S.HRG.116-53,2019,https://purl.fdlp.gov/GPO/gpo129240;Address at time of PURL creationhttps://www.govinfo.gov/content/pkg/CHRG-116shrg37496/pdf/CHRG-116shrg37496.pdf,20191218,Electric battery production and waste :,"opportunities and challenges : hearing before the Committee on Environment and Public Works, United States Senate, One Hundred Sixteenth Congress, first session, July 17, 2019."
1111936,(OCoLC)1134442995,0621-L (online),I 19.127:2019-3069,2019,https://purl.fdlp.gov/GPO/gpo129859;Address at time of PURL creationhttps://pubs.usgs.gov/fs/2019/3069/fs20193069.pdf,20191231,Naturally occurring uranium in groundwater in northeastern Washington State /,
1111937,(OCoLC)961278409,0625 (online),I 19.13:1009,1945.;1945.,https://purl.fdlp.gov/GPO/gpo111902;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1009/report.pdf,20191219,Surface water supply of the United States 1944.,
1111939,(OCoLC)963229807,0625 (online),I 19.13:1744,1968.;1968.,https://purl.fdlp.gov/GPO/gpo129784;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1744/report.pdf,20191219,"Quality of surface waters of the United States, 1960.",
1111940,(OCoLC)963246334,0625 (online),I 19.13:1862,1968.;1968.,https://purl.fdlp.gov/GPO/gpo129786;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wsp1862,20191219,"Geology and ground-water resources of the Deer Lodge Valley, Montana /",
1111942,(OCoLC)961365450,0625 (online),I 19.13:1868,1969.;1969.,https://purl.fdlp.gov/GPO/gpo129787;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wsp1868,20191219,"Sediment transport by streams in the Walla Walla River Basin, Washington and Oregon, July 1962-June 1965 /",
1111943,(OCoLC)961365528,0625 (online),I 19.13:1906,1970.;1970.,https://purl.fdlp.gov/GPO/gpo129788;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wsp1906,20191219,"Surface water supply of the United States, 1961-65.",
1111952,(OCoLC)681277215,0624-B-05 (online),I 19.42/4:01-4183,2001,https://purl.fdlp.gov/GPO/LPS23996;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2001/4183/report.pdf,20191219,Geophysical investigations of well fields to characterize fractured-bedrock aquifers in southern New Hampshire /,
1111953,(OCoLC)954172978,0625 (online),I 19.13:51,1901.;1901.,https://purl.fdlp.gov/GPO/gpo110849;Address at time of PURL creationhttp://pubs.usgs.gov/wsp/0051/report.pdf,20191219,"Operations at river stations, 1900.",
1111959,(OCoLC)957493112,0625 (online),I 19.16:1260-E,1957.;1957.,https://purl.fdlp.gov/GPO/gpo129093;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wsp1260E,20191219,Floods of April-June 1952 in Utah and Nevada /,
1111993,(OCoLC)679322221,0624-B-05 (online),I 19.42/4:98-4183,1998,https://purl.fdlp.gov/GPO/gpo127096;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1998/4183/report.pdf,20191219,"Lithology and fracture characterization from drilling investigations in the Mirror Lake Area, Grafton County, New Hampshire /",
1112024,(OCoLC)1102832471,0625 (online),I 19.13:1340,1957.;1957.,https://purl.fdlp.gov/GPO/gpo129895;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1340/report.pdf,20191220,"Surface water supply of the United States, 1954.",
1112025,(OCoLC)1104119188,0625 (online),I 19.13:1516,1959.;1959.,https://purl.fdlp.gov/GPO/gpo129886;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1516/report.pdf,20191220,"Surface water supply of the United States, 1957.",
1112031,(OCoLC)954180210,0625 (online),I 19.13:226,1909.;1909.,https://purl.fdlp.gov/GPO/gpo107199;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0226/report.pdf,20191220,The pollution of streams by sulphite pulp waste :,a study of possible remedies /
1112032,(OCoLC)961272502,0625 (online),I 19.13:625,1930.;1930.,https://purl.fdlp.gov/GPO/gpo110245;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0625/report.pdf,20191220,"Surface water supply of the United States, 1926.",
1112064,(OCoLC)963246369,0625 (online),I 19.13:1866-B,1970.;1970.,https://purl.fdlp.gov/GPO/gpo129789;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1866b/report.pdf,20191223,Floods of December 1964 and January 1965 in the Far Western States. :,Part 2.
1112146,(OCoLC)1133258397,1045-C (online),Y 4.P 96/10:S.HRG.116-34,2019,https://purl.fdlp.gov/GPO/gpo129998;Address at time of PURL creationhttps://www.govinfo.gov/content/pkg/CHRG-116shrg36934/pdf/CHRG-116shrg36934.pdf,20191226,Advanced nuclear technology :,"protecting U.S. leadership and expanding opportunities for licensing new nuclear energy technologies : hearing before the Subcommittee on Clean Air and Nuclear Safety of the Committee on Environment and Public Works, United States Senate, One Hundred Sixteenth Congress, first session, June 4, 2019."
1112186,(OCoLC)916427875,0307-A-31 (online),D 101.146:C 61/2,[2015],https://purl.fdlp.gov/GPO/gpo130002;Address at time of PURL creationhttp://pksoi.armywarcollege.edu/default/assets/File/Kirk%20paper.pdf,20191226,Climate change :,considerations for geographic combatant commands /
1112216,(OCoLC)966434653,0624-B (online),I 19.42/4:00-4120,2000,https://purl.fdlp.gov/GPO/gpo129944;Address at time of PURL creationhttps://mi.water.usgs.gov/pubs/WRIR/WRIR00-4120/pdf/wholereport.pdf,20191227,"Ground-water quality atlas of Oakland County, Michigan /",
1112220,(OCoLC)985368940,0624-B (online),I 19.42/4:00-4010,2001,https://purl.fdlp.gov/GPO/gpo129946;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2000/4010/report.pdf,20191227,"Mountain-front recharge along the eastern side of the Middle Rio Grande Basin, Central New Mexico /",
1112223,(OCoLC)1027965426,0624-H (online),I 19.76:2014-1136,2014,https://purl.fdlp.gov/GPO/gpo129947;Address at time of PURL creationhttps://pubs.usgs.gov/of/2014/1136/pdf/ofr2014-1136.pdf,20191227,"Integration of seismic-reflection and well data to assess the potential impact of stratigraphic and structural features on sustainable water supply from the Floridan aquifer system, Broward County, Florida /",
1112226,(OCoLC)985367284,0624-B-05 (online),I 19.42/4:00-4090,2000,https://purl.fdlp.gov/GPO/gpo129949;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wri20004090,20191227,"Regional water table (1998) and ground-water-level changes in the Mojave River and the Morongo ground-water basins, San Bernardino County, California /",
1112227,(OCoLC)985367709,0624-B (online),I 19.42/4:01-4083,2001,https://purl.fdlp.gov/GPO/gpo129982;Address at time of PURL creationhttps://pubs.usgs.gov/wri/wri01-4083/pdf/wri014083.pdf,20191227,"Surface-water, water-quality, and ground-water assessment of the Municipio of Comerío, Puerto Rico, 1997-99 /",
1112229,(OCoLC)985367472,0624-B (online),I 19.42/4:00-4022,2000,https://purl.fdlp.gov/GPO/gpo129978;Address at time of PURL creationhttps://pubs.usgs.gov/wri/wri00-4082/pdf/wri00-4082.pdf,20191227,"Estimated effects on water quality of Lake Houston from interbasin transfer of water from the Trinity River, Texas /",
1112318,(OCoLC)1134399599,0546-D-01 (online),GA 1.5/2:T-RCED-88-12,1987,https://purl.fdlp.gov/GPO/gpo129779;Address at time of PURL creationhttps://www.gao.gov/assets/110/101917.pdf,20191230,H.R. 3504: Pesticide Monitoring Improvements Act /,
1112385,(OCoLC)1134447716,1008-G (online),Y 1.1/5:116-189,2019,https://purl.fdlp.gov/GPO/gpo130210;Address at time of PURL creationhttps://www.govinfo.gov/content/pkg/CRPT-116srpt189/pdf/CRPT-116srpt189.pdf,20191231,To amend the Omnibus Public Land Management Act of 2009 to make the Reclamation Water Settlements Fund permanent :,report (to accompany S. 886) (including cost estimate of the Congressional Budget Office).
1112400,(OCoLC)1114268390,0624-H (online),I 19.76:2016-1065,2016,https://purl.fdlp.gov/GPO/gpo129984;Address at time of PURL creationhttps://pubs.usgs.gov/of/2016/1065/ofr20161065.pdf,20200102,"Development of a decision support tool for water and resource management using biotic, abiotic, and hydrological assessments of Topock Marsh, Arizona /",
1112401,(OCoLC)1083547113,0624-H (online),I 19.76:2015-1145,2015,https://purl.fdlp.gov/GPO/gpo129985;Address at time of PURL creationhttps://pubs.usgs.gov/of/2015/1145/ofr20151145.pdf,20200102,"Groundwater levels, trends, and relations to pumping in the Bureau of Reclamation Klamath Project, Oregon and California /",
1112402,(OCoLC)966435075,0624-B-05 (online),I 19.42/4:02-4258,2003,https://purl.fdlp.gov/GPO/gpo129991;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2002/4258/report.pdf,20200102,"Simulations of flooding on Pea River and Whitewater Creek in the vicinity of the proposed Elba Bypass at Elba, Alabama /",
1112404,(OCoLC)966435080,0624-B-05 (online),I 19.42/4:01-4147,2001,https://purl.fdlp.gov/GPO/gpo129995;Address at time of PURL creationhttps://pubs.usgs.gov/wri/wri01-4147/wrir-01-4147.pdf,20200102,"Occurrence and distribution of enteric viruses in shallow ground water and factors affecting well vulnerability to microbiological contamination in Worcester and Wicomico Counties, Maryland /",
1112405,(OCoLC)966435079,0624-B-05 (online),I 19.42/4:01-4054,2001,https://purl.fdlp.gov/GPO/gpo129996;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2001/4054/report.pdf,20200102,User's guide for mixed-size sediment transport model for networks of one-dimensional open channels /,
1112408,(OCoLC)966435084,0624-B-05 (online),I 19.42/4:00-4084,2000,https://purl.fdlp.gov/GPO/gpo130001;Address at time of PURL creationhttps://pubs.usgs.gov/wri/wri00-4084/pdf/wrir00-4084.pdf,20200102,"Design, revision, and application of ground-water flow models for simulation of selected water-management scenarios in the coastal area of Georgia and adjacent parts of South Carolina and Florida /",
1112409,(OCoLC)966435130,0624-B-05 (online),I 19.42/4:01-4024,2002,https://purl.fdlp.gov/GPO/gpo130051;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2001/4024/report.pdf,20200102,"Nitrogen and phosphorus concentrations and fluxes of streams in the Mississippi Embayment Study Unit, 1996-98 /",
1112412,(OCoLC)966435076,0624-B-05 (online),I 19.42/4:01-4156,2001,https://purl.fdlp.gov/GPO/gpo130053;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wri20014156,20200102,"Evaluation of the effects of development on peak-flow hydrographs for Collyer Brook, Maine /",
1112417,(OCoLC)966435000,0624-B-05 (online),I 19.42/4:01-4088,2001,https://purl.fdlp.gov/GPO/gpo130054;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2001/4088/report.pdf,20200102,"Statistical summary of selected physical, chemical, and toxicity characteristics and estimates of annual constituent loads in urban stormwater, Maricopa County, Arizona /",
1112421,(OCoLC)985367673,0624-B-05 (online),I 19.42/4:01-4040,2001,https://purl.fdlp.gov/GPO/gpo130056;Address at time of PURL creationhttps://pubs.usgs.gov/wri/wri014040/wri014040.pdf,20200102,"Pond-aquifer interaction at South Pond of Lake Cochituate, Natick, Massachusetts /",
1112426,(OCoLC)966435068,0624-B-05 (online),I 19.42/4:02-4109,2002,https://purl.fdlp.gov/GPO/gpo130061;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2002/4109/report.pdf,20200102,"State of flood plain vegetation within the meander belt of the Clark Fork of the Columbia River, Deer Lodge Valley, Montana /",
1112428,(OCoLC)985370735,0624-B-05 (online),I 19.42/4:77-16,1977,https://purl.fdlp.gov/GPO/gpo130064;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1977/0016/report.pdf,20200102,Application of thermal imagery and aerial photography to hydrologic studies of karst terrane in Missouri /,
1112538,(OCoLC)1134980063,0624-H (online),I 19.76:2019-1068,2019,https://purl.fdlp.gov/GPO/gpo126741;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/ofr20191068,20200106,South Atlantic Water Science Center strategic science plan: 2019-23 /,
1112553,(OCoLC)985367203,0624-B-05 (online),I 19.42/4:00-4041,2000,https://purl.fdlp.gov/GPO/gpo130134;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2000/4041/report.pdf,20200106,"Organochlorine compounds in streambed sediment and in biological tissue from streams and their relations to land use, central Arizona /",
1112556,(OCoLC)963253913,0624-B-05 (online),I 19.42/4:99-4282,2000,https://purl.fdlp.gov/GPO/gpo130267;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1999/4282/report.pdf,20200106,"Precipitation-runoff simulations for the upper part of the Truckee River basin, California and Nevada /",
1112558,(OCoLC)985367046,0624-B-05 (online),I 19.42/4:00-4095,1999,https://purl.fdlp.gov/GPO/gpo130273;Address at time of PURL creationhttps://mn.water.usgs.gov/publications/pubs/00-4095.pdf,20200106,"Characterization of rainfall-runoff response and estimation of the effect of wetland restoration on runoff, Heron Lake basin, southwestern Minnesota, 1991-97 /",
1112569,(OCoLC)880360855,0624-B-05 (online),I 19.42/4:01-4235,2001,https://purl.fdlp.gov/GPO/gpo130131;Address at time of PURL creationhttps://me.water.usgs.gov/reports/WRIR01-4235.pdf,20200106,"Water budget for Sebago Lake, Maine, 1996-99 /",
1112574,(OCoLC)985369125,0624-B-05 (online),I 19.42/4:01-4133,2002,https://purl.fdlp.gov/GPO/gpo130292;Address at time of PURL creationhttps://water.usgs.gov/ogw/bgas/publications/wri014133/wri014133-p1-30.pdf,20200106,"An integrated geophysical and hydraulic investigation to characterize a fractured-rock aquifer, Norwalk, Connecticut /",
1112577,(OCoLC)966435102,0624-B-05 (online),I 19.42/4:99-4272,2000,https://purl.fdlp.gov/GPO/gpo129997;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1999/4272/report.pdf,20200106,"Water budgets for Pine Valley, Carico Lake Valley, and Upper Reese River Valley hydrographic areas, middle Humboldt River basin, north-central Nevada :",methods for estimation and results /
1112578,(OCoLC)1134988183,0646-R (online),I 29.89:2006/002,2006,http://purl.fdlp.gov/GPO/gpo79294;Address at time of PURL creationhttps://irma.nps.gov/DataStore/DownloadFile/466432,20200106,Vital signs monitoring plan for the Southern Colorado plataeu network /,
1112583,(OCoLC)966434763,0624-B-05 (online),I 19.42/4:00-4122,2000,https://purl.fdlp.gov/GPO/LPS40498;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wri004122,20200106,"Hydrogeology of the regional aquifer near Flagstaff, Arizona, 1994-97 /",
1112603,(OCoLC)1134990232,0807-A-09 (online),LC 14.24:IF 10577/,-2018,https://purl.fdlp.gov/GPO/gpo130429;Address at time of PURL creationhttps://crsreports.congress.gov/product/details?prodcode=IF10577,20200106,"Water Infrastructure Improvements for the Nation (WIIN) Act, P.L. 114-322 :",drinking water provisions /
1112606,(OCoLC)985369111,0624-B-05 (online),I 19.42/4:02-4035,2002,https://purl.fdlp.gov/GPO/gpo130345;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2002/4035/report.pdf,20200107,"Use of temperature, pressure, and water potential data to estimate infiltration and monitor percolation in Pagany Wash associated with the winter of 1997-98 El Niño precipitation, Yucca Mountain, Nevada /",
1112628,(OCoLC)1135064470,1035-E (online),Y 4.B 22/3:S.HRG.116-24,2019,https://purl.fdlp.gov/GPO/gpo130435;Address at time of PURL creationhttps://www.govinfo.gov/content/pkg/CHRG-116shrg36539/pdf/CHRG-116shrg36539.pdf,20200107,"The application of environmental, social, and governance principles in investing and the role of asset managers, proxy advisors, and other intermediaries :","hearing before the Committee on Banking, Housing, and Urban Affairs, United States Senate, One Hundred Sixteenth Congress, first session, on examining the evolution of ESG considerations by institutional investors and how investors engage with companies on ESG issues, April 2, 2019."
1112648,(OCoLC)966435069,0624-B-05 (online),I 19.42/4:01-4006,2001,https://purl.fdlp.gov/GPO/gpo130350;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2001/4006/report.pdf,20200108,"Application of telescopic mesh refinement to a regional model to simulate ground-water flow in Webberville, Michigan /",
1112657,(OCoLC)985367577,0624-B-05 (online),I 19.42/4:00-4020,2000,https://purl.fdlp.gov/GPO/gpo130353;Address at time of PURL creationhttps://pubs.usgs.gov/wri/wri004020/pdf/wri00-4020.pdf,20200108,Environmental setting and its relations to water quality in the Kanawha River basin /,
1112660,(OCoLC)935954512,0624-B-05 (online),I 19.42/4:02-4226,2002,https://purl.fdlp.gov/GPO/gpo130354;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wri024226,20200108,"Magnitude and extent of arsenic and thallium concentrations in ground water and sediments at the Charleston Naval Complex, North Charleston, South Carolina, 1994-99 /",
1112663,(OCoLC)681952794,0624-B-05 (online),I 19.42/4:00-4147,2000,https://purl.fdlp.gov/GPO/gpo130360;Address at time of PURL creationhttps://pubs.usgs.gov/wri/2000/4147/report.pdf,20200108,Detection of conduit-controlled ground-water flow in northwestern Puerto Rico using aerial photograph interpretation and geophysical methods /,
